year,student_suicides_national_exam_related,kota_student_suicides,coaching_industry_revenue_cr,avg_coaching_cost_lakh,female_candidate_pct,sc_st_obc_pct,dropout_after_failure_pct,mental_health_helpline_calls,source_suicides,source_coaching
2013,8068,,5800,1.5,48.0,52.0,,,"NCRB 2013 Accidental Deaths & Suicides",Industry reports
2014,8125,,6200,1.8,49.0,53.0,,,"NCRB 2014","Industry reports"
2015,8529,,6800,2.0,50.0,53.5,,,"NCRB 2015","Industry reports"
2016,9274,,7500,2.2,51.0,54.0,,,"NCRB 2016","Industry reports"
2017,9763,,8200,2.5,52.0,54.5,,,"NCRB 2017","Industry reports"
2018,10136,,9000,2.8,53.0,55.0,,,"NCRB 2018","Industry reports"
2019,10587,18,10500,3.0,54.0,55.5,,,"NCRB 2019; Kota Police data","KPMG India Education Report"
2020,11396,14,9800,3.0,54.5,56.0,,,"NCRB 2020; Kota Police data","Industry reports (COVID impact)"
2021,13009,16,11200,3.2,55.0,56.5,,,"NCRB 2021; Kota Police data","Industry reports"
2022,13044,15,12800,3.5,56.0,57.0,,,"NCRB 2022; Kota Police data","FICCI-EY report"
2023,13508,26,14500,4.0,57.0,57.5,,,"NCRB 2023; Kota Police data; Lokniti-CSDS study","Industry reports"
2024,14488,17,16000,4.5,57.5,58.0,,65000,"NCRB 2024; Kota Police data","Industry reports; 65000 counselled post-NEET 2024"
2025,,14,17500,5.0,58.0,58.5,,,"Kota Police data (partial year to May); NCRB 2025 pending","Industry estimates"
2026,,,,5.0,58.0,59.0,,,"NCRB 2026 pending; exam cancelled May","Exam cancelled; coaching costs still incurred"
