event_id,year,event_title,severity,description,states_implicated,modus_operandi,arrests,legal_outcome,amount_charged_lakh,source
1,2014,NEET answer key challenge,Minor,"Coaching institute alleged advance knowledge of answer key. NTA denied. Legal challenge dismissed by court.",NA,Answer Key Leak Allegation,0,Case dismissed by court,0,Supreme Court records 2014
2,2015,AIPMT full cancellation — SC order,Cancelled,"Supreme Court cancelled exam June 15. Bluetooth-vest cheating ring across 10+ states. 350+ mobiles seized. 6.3 lakh students retook exam.","UP;RJ;HR;MP;BR;GJ;MH;DL;PB;TN",Bluetooth earpiece vest + solver gang,350,Full cancellation; SC order; operator Ravi Attri later linked to 2024 leaks,10-15,Supreme Court order AIPMT 2015; India Today June 2015
3,2016,NEET impersonation — multiple states,Minor,"Tamil Nadu CB-CID and other state agencies arrested proxy candidates. Opposition parties cited 2016 in formal NEET controversy timeline.","TN;KA;AP",Proxy candidates with fake IDs,18,Affected center results invalidated; candidates debarred,5-10,Tamil Nadu CB-CID records 2016
4,2017,Tamil Nadu impersonation arrests,Minor,"12 arrests for proxy candidates in Chennai centers. Exam held; affected center results invalidated.","TN;KA",Proxy candidates at Chennai centers,12,Affected center results invalidated,3-8,Chennai Police FIR records 2017
5,2019,OMR tampering — Rajasthan,Minor,"OMR sheet manipulation alleged at multiple Rajasthan centers. CBI probe launched; 7 persons arrested. Results of affected centers re-evaluated.","RJ;UP",OMR sheet manipulation post-exam,7,CBI probe launched; results re-evaluated,5-20,CBI investigation records 2019; Rajasthan SOG
6,2021,Jaipur local leak — confirmed arrests,Minor,"Jaipur police arrested candidate Dineshwari Kumari and invigilator Ram Singh and 5 others post-exam. NTA dismissed pre-exam rumours but police confirmed localized breach. No full cancellation.","RJ",Invigilator-candidate collusion at exam center,7,Arrested and charged; localized breach confirmed,2-5,Jaipur Police FIR; Careers360 Sept 14 2021
7,2023,Localized state-level irregularities,Minor,"Multiple state-level cheating allegations. No confirmed national paper leak verified for 2023 specifically. Jharkhand trunk theft previously listed here is confirmed 2024 — corrected.","BR;JH;RJ",Various localized cheating attempts,0,Under investigation; reclassified from Major to Minor,0,CBI FIR date confirmation; multiple news sources
8,2024,Grace mark scandal + Bihar paper theft,Major,"67 perfect scorers (720/720) — statistical impossibility. CBI confirmed paper stolen from NTA trunk in Hazaribagh Jharkhand. 6 FIRs filed across Bihar Gujarat Rajasthan Maharashtra. SC refused full cancellation but ordered result revision for 1563 candidates.","BR;JH;GJ;RJ;MH",Paper theft from NTA storage + grace mark manipulation + solver gangs,40,SC ordered result revision for 1563 candidates; CBI investigation ongoing,30-50,CBI FIR 2024; Supreme Court order Aug 2024; NDTV; Indian Express
9,2025,Multi-exam NTA disruption year,Major,"5 of 14 NTA exams faced disruptions per Parliament Standing Committee Dec 2025. NEET 2025 conducted with localized irregularities in 3 states. UGC-NET and NEET-PG cancelled separately.","BR;UP;RJ;MH;KA",Multiple methods across different NTA exams,15,Parliament committee review; NTA reform panel constituted,0,Parliamentary Standing Committee Report Dec 2025
10,2026,Upstream pipeline compromise — full cancellation,Cancelled,"410-question corpus leaked April 29 via Telegram. 135 verbatim matches confirmed by CBI. Multi-state mafia involving Rajasthan Bihar Maharashtra Kerala. Exam cancelled May 12 for 22.7 lakh. Re-exam June 21. Public Examinations Act 2024 invoked.","RJ;BR;MH;KL",Question bank theft from NTA pipeline + Telegram distribution + coaching operator network,25,Full cancellation; CBI investigation; Public Examinations Act invoked; re-exam ordered,2-50,CBI FIR May 2026; NTA notification May 12 2026; The Hindu; Economic Times May 2026
